!SIL 1.0	SIL
<SPOKEN_NOISE> 1.0	SPN
<UNK> 1.0	SPN
A 1.0	ax
ABBREVIATED 1.0	ax b r iy v iy ey t ax d
ABLE-BODIED 1.0	ey b ax l b aa d iy d
ABLUTIONS 1.0	ae b l uw sh ax n z
ABOUT 1.0	ax b aw t
ABSOLVE 1.0	ax b z aa l v
ABSORB 1.0	ax b z ao r b
ACHIEVE 1.0	ax ch iy v
ADAPT 1.0	ax d ae p t
ADHESION 1.0	ae d hh iy zh ax n
ADJACENT 1.0	ax jh ey s ax n t
ADULATION 1.0	ae jh ax l ey sh ax n
ADVANTAGEOUS 1.0	ae d v ax n t ey jh ax s
ADVICE 1.0	ax d v ay s
AFTERTHOUGHT 1.0	ae f t ax th aa t
AGRICULTURAL 1.0	ae g r ax k ah l ch ax ax l
AHEAD 1.0	ax hh eh d
ALL 1.0	ao l
ALLURE 1.0	ax l uh r
ALOFT 1.0	ax l ao f t
ALOOF 1.0	ax l uw f
ALPHA 1.0	ae l f ax
ALT 1.0	aa l t
ALTHOUGH 1.0	ao l dh ow
AMETHYSTS 1.0	ae m ax th ax s t s
AN 1.0	ae n
AND 1.0	ae n d
AND 1.0	ax n d
ANNOYED 1.0	ax n oy d
ANXIETIES 1.0	ax ng z ay ax t iy z
ANYBODY 1.0	eh n iy b ax d iy
ANYTHING 1.0	eh n iy th ih ng
APOTHECARY 1.0	ax p aa th ax k eh r iy
APPRECIABLE 1.0	ax p r iy sh ax b ax l
APPREHEND 1.0	ae p r ax hh eh n d
APPROACH 1.0	ax p r ow ch
ARE 1.0	aa r
AS 1.0	ae z
ASHAMED 1.0	ax sh ey m d
ASIA 1.0	ey zh ax
ASTOUNDED 1.0	ax s t aw n d ax d
AT 1.0	ae t
ATROCIOUS 1.0	ax t r ow sh ax s
AUTHORITATIVE 1.0	ax th ao r ax t ey t ax v
AUTOBIOGRAPHY 1.0	ao t ax b ay aa g r ax f iy
AVENUES 1.0	ae v ax n uw z
AVERSION 1.0	ax v er zh ax n
AWAY 1.0	ax w ey
AWHILE 1.0	ax w ay l
AZURE 1.0	ae zh ax
BABYHOOD 1.0	b ey b iy hh uh d
BACHELOR 1.0	b ae ch ax l ax
BACKSPACE 1.0	b ae k s p ey s
BALL 1.0	b ao l
BALLOONS 1.0	b ax l uw n z
BANANA 1.0	b ax n ae n ax
BATH 1.0	b ae th
BATHE 1.0	b ey dh
BATHS 1.0	b ae th s
BATHTUB 1.0	b ae th t ax b
BATTLEFIELD 1.0	b ae t ax l f iy l d
BATTLEMENTS 1.0	b ae t ax l m ax n t s
BATTLESHIP 1.0	b ae t ax l sh ih p
BE 1.0	b ey
BE 1.0	b iy
BEEF 1.0	b iy f
BEEN 1.0	b ax n
BEGUILE 1.0	b ax g ay l
BEHAVIOR 1.0	b ax hh ey v y ax
BELEAGUERING 1.0	b ax l iy g ax ax ng
BENGAL 1.0	b eh ng g ax l
BEQUEATH 1.0	b ax k w iy th
BERSERKER 1.0	b ax s er k ax
BETOOK 1.0	b ih t uh k
BETROTH 1.0	b ih t r ao th
BIRMINGHAM 1.0	b er m ax ng hh ae m
BLITHE 1.0	b l ay dh
BLOODSHED 1.0	b l ah d sh eh d
BLUE 1.0	b l uw
BLUEBELLS 1.0	b l uw b eh l z
BOGIES 1.0	b ow g iy z
BOOTH 1.0	b uw th
BOQUETS 1.0	b ow k ey s
BOSOM 1.0	b uh z ax m
BOTH 1.0	b ow th
BOTHER 1.0	b aa dh ax
BOULEVARD 1.0	b uh l ax v aa r d
BOYHOOD 1.0	b oy hh uh d
BRAVO 1.0	b r aa v ow
BROIL 1.0	b r oy l
BROTHERHOOD 1.0	b r ah dh ax hh uh d
BROWBEAT 1.0	b r aw b iy t
BRUSH 1.0	b r ah sh
BUFFOON 1.0	b ax f uw n
BULGE 1.0	b ah l jh
BULRUSH 1.0	b uh l r ax sh
BUNGALOWS 1.0	b ah ng g ax l ow z
BURROWS 1.0	b er ow z
BUSHELS 1.0	b uh sh ax l z
BUT 1.0	b ah t
BUTCHER 1.0	b uh ch ax
BUTTERFLIES 1.0	b ah t ax f l ay z
BY 1.0	b ay
CALL 1.0	k ao l
CAN 1.0	k ae n
CAN 1.0	k ax n
CANDLELIGHT 1.0	k ae n d ax l l ay t
CAR 1.0	k aa r
CARROT 1.0	k eh r ax t
CASUALTIES 1.0	k ae zh ax l t iy z
CATHOLIC 1.0	k ae th l ax k
CELEBRITY 1.0	s ax l eh b r ax t iy
CHAIR 1.0	ch eh r
CHAMBERMAID 1.0	ch ey m b ax m ey d
CHARLIE 1.0	ch aa r l iy
CHATTERBOX 1.0	ch ae t ax b aa k s
CHAUFFEUR 1.0	sh ow f ax
CHESHIRE 1.0	ch eh sh ax
CHIDE 1.0	ch ay d
CHOICE 1.0	ch oy s
CHOKING 1.0	ch ow k ax ng
CHOWDER 1.0	ch aw d ax
CIRCULAR 1.0	s er k y ax l ax
CLERGYMAN 1.0	k l er jh iy m ae n
CLOWN 1.0	k l aw n
COBBLESTONES 1.0	k aa b ax l s t ow n z
COHERENT 1.0	k ow hh ih r ax n t
COIL 1.0	k oy l
COME 1.0	k ah m
COMMAND 1.0	k ax m ae n d
COMMERCIAL 1.0	k ax m er sh ax l
COMPOSURE 1.0	k ax m p ow zh ax
CONTROL 1.0	k ax n t r ow l
CONVENIENCE 1.0	k ax n v iy n y ax n s
CONVULSION 1.0	k ax n v ah l sh ax n
COPENHAGEN 1.0	k ow p ax n hh ey g ax n
COPY 1.0	k aa p iy
COULD 1.0	k uh d
COWBOYS 1.0	k aw b oy z
COWHIDE 1.0	k aw hh ay d
CRAYON 1.0	k r ey aa n
CRYING 1.0	k r ay ax ng
CUP 1.0	k ah p
CUSHY 1.0	k uh sh iy
CUT 1.0	k ah t
DAY 1.0	d ey
DELETE 1.0	d ax l iy t
DELTA 1.0	d eh l t ax
DELUGE 1.0	d eh l y uw jh
DEMOLISH 1.0	d ax m aa l ax sh
DESIGNATE 1.0	d eh z ax g n ey t
DID 1.0	d ax d
DIGEST 1.0	d ax jh eh s t
DISPLEASURE 1.0	d ax s p l eh zh ax
DISPOSSESS 1.0	d ih s p ax z eh s
DISSATISFACTION 1.0	d ih s ax t ax s f ae k sh ax n
DO 1.0	d uw
DODGERS 1.0	d aa jh ax z
DOWN 1.0	d aw n
DOWNWARD 1.0	d aw n w ax d
DOWRY 1.0	d aw r iy
DRUM 1.0	d r ah m
DUCK 1.0	d ah k
DURABLE 1.0	d uh r ax b ax l
EACH 1.0	iy ch
ECHO 1.0	eh k ow
EIGHT 1.0	ey t
EMILIO 1.0	ax m iy l iy ow
EMPLOYMENT 1.0	ax m p l oy m ax n t
ENDOWMENTS 1.0	ax n d aw m ax n t s
ENTER 1.0	eh n t ax
ENTERTAINER 1.0	eh n t ax t ey n ax
ENTHUSE 1.0	ax n th uw z
EPISODE 1.0	eh p ax s ow d
EPITHET 1.0	eh p ax th eh t
EQUILIBRIUM 1.0	iy k w ax l ih b r iy ax m
ESCAPE 1.0	ax s k ey p
EXACTITUDE 1.0	ax g z ae k t ax t uw d
EXAGGERATE 1.0	ax g z ae jh ax ey t
EXPLOIT 1.0	eh k s p l oy t
EYEBROWS 1.0	ay b r aw z
FAITHFULNESS 1.0	f ey th f ax l n ax s
FATHOM 1.0	f ae dh ax m
FAYETTEVILLE 1.0	f ey eh t v ih l
FEATHER 1.0	f eh dh ax
FIND 1.0	f ay n d
FINGER 1.0	f ih ng g ax
FIRE 1.0	f ay r
FIRST 1.0	f er s t
FISHING 1.0	f ih sh ax ng
FIVE 1.0	f ay v
FLOWERS 1.0	f l aw ax z
FOIL 1.0	f oy l
FOOTMARKS 1.0	f uh t m aa r k s
FOR 1.0	f ao r
FORGETFULNESS 1.0	f ax g eh t f ax l n ax s
FOUR 1.0	f ao r
FOWLER 1.0	f aw l ax
FOXTROT 1.0	f aa k s t r aa t
FROG 1.0	f r aa g
FROM 1.0	f r ah m
FRUGALITY 1.0	f r uw g ae l ax t iy
FUTURITY 1.0	f y uw ch ax r ax t iy
GENTLEWOMAN 1.0	jh eh n t ax l w uh m ax n
GET 1.0	g eh t
GIGANTIC 1.0	jh ay g ae n t ax k
GIGGLED 1.0	g ih g ax l d
GIRL 1.0	g er l
GLASSES 1.0	g l ae s ax z
GO 1.0	g ow
GOLF 1.0	g aa l f
GOLF 1.0	g ao l f
GOOD 1.0	g uh d
GOUGED 1.0	g aw jh d
GOULASH 1.0	g uw l aa sh
GREEN 1.0	g r iy n
GREYHOUND 1.0	g r ey hh aw n d
GUSTAVE 1.0	g uw s t aa v
HA-HA 1.0	hh aa hh aa
HAD 1.0	hh ae d
HALLELUJAH 1.0	hh ae l ax l uw y ax
HANGER 1.0	hh ae ng ax
HARANGUING 1.0	hh ax ae ng ax ng
HAS 1.0	hh ae z
HAVE 1.0	hh ae v
HE 1.0	hh iy
HER 1.0	hh er
HEYWARD 1.0	hh ey w ax d
HIM 1.0	hh ih m
HIS 1.0	hh ax z
HOIST 1.0	hh oy s t
HOMEOPATH 1.0	hh ow m iy ow p ae th
HOTEL 1.0	hh ow t eh l
HOUSE 1.0	hh aw z
HOW 1.0	hh aw
HULK 1.0	hh ah l k
HYPOTHESIS 1.0	hh ay p aa th ax s ax s
I 1.0	ay
IF 1.0	ax f
